ID,Date stamp,Date,0,1,2,3,4,5,6,7,8,9
802219-12,7,1/1/21,0.005940594,0.24356436,0.007920792,0.005940594,0.027722772,0,0.03960396,0.097029703,0.017821782,0.011881188
802219-13,7,1/1/21,0,0.17110266,0,0,0.05513308,0,0.05513308,0.10646388,0.038022814,0.024714829
802219-14,7,1/1/21,0,0.070247934,0.008264463,0.002066116,0.051652893,0,0.022727273,0.12809917,0.035123967,0.12396694
802219-15,7,1/1/21,0.028195489,0.12781955,0,0,0.028195489,0,0.031954887,0.10902256,0.11278195,0.046992481
802219-16,7,1/1/21,0.023364486,0.23831776,0.009345794,0.004672897,0.021028037,0,0.002336449,0.093457944,0.011682243,0.067757009
802219-17,7,1/1/21,0,0.22413793,0,0,0.043103448,0,0,0.17241379,0.049568966,0.002155172
802220-1,7,1/1/21,0.018072289,0.28915663,0.0562249,0,0,0,0,0.11044177,0.018072289,0.062248996
802220-2,7,1/1/21,0.035906643,0.2064632,0.003590664,0,0.016157989,0.016157989,0,0.12028725,0.043087971,0.064631957
802220-3,7,1/1/21,0,0.12896406,0,0,0.014799154,0,0.010570825,0.22621564,0.14799154,0.019027484
802220-4,7,1/1/21,0,0.17367459,0.014625229,0,0.045703839,0,0.014625229,0.17367459,0.02559415,0.047531993
802220-5,7,1/1/21,0.017271157,0.16580311,0.017271157,0.02417962,0.063903282,0.005181347,0.063903282,0.11398964,0.017271157,0.018998273
802220-6,7,1/1/21,0.018711019,0.28690229,0.054054054,0,0,0,0,0.070686071,0.012474012,0.056133056
802220-7,7,1/1/21,0.007168459,0.24014337,0.048387097,0,0.016129032,0,0.039426523,0.066308244,0.003584229,0.025089606
802220-8,7,1/1/21,0,0.26459144,0.060311284,0,0,0,0.052529183,0.079766537,0,0.011673152
802220-9,7,1/1/21,0.009157509,0.24358974,0.071428571,0.012820513,0,0,0.021978022,0.06043956,0.003663004,0.065934066
802220-10,7,1/1/21,0,0.18148148,0.048148148,0,0.012962963,0,0.07037037,0.081481481,0,0.07037037
802220-11,7,1/1/21,0,0.13009709,0.048543689,0,0,0,0.058252427,0.083495146,0.015533981,0.097087379
802220-12,7,1/1/21,0,0,0,0,0,0,0,0,0,0
802220-13,7,1/1/21,0.001945525,0.044747082,0.058365759,0.031128405,0,0,0.044747082,0.060311284,0,0.11089494
802220-14,7,1/1/21,0.011363636,0.1525974,0.027597403,0,0,0.025974026,0.025974026,0.01461039,0.032467532,0.10551948
802220-15,7,1/1/21,0,0.27777778,0.081481481,0,0.005555556,0,0,0.051851852,0.003703704,0.02962963
